record_id;wearlog_type;wearlog_event;wearlog_off;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;startdate;enddate;wear_log_complete
218;0;1;;16.10.2023 11:18;;;;;;;;;;;;;;;;;16.10.2023 11:18;16.10.2023 11:18;0
218;0;2;;;17.10.2023 00:36;;;;;;;;;;;;;;;;17.10.2023 00:36;17.10.2023 00:37;0
218;1;;;;;;;;;1;1;;17.10.2023 08:40;;;;;;;;17.10.2023 11:47;17.10.2023 11:47;0
218;0;2;;;18.10.2023 00:11;;;;;;;;;;;;;;;;18.10.2023 00:11;18.10.2023 00:11;0
218;0;1;;18.10.2023 10:50;;;;;;;;;;;;;;;;;18.10.2023 10:50;18.10.2023 10:51;0
218;0;2;;;18.10.2023 23:45;;;;;;;;;;;;;;;;18.10.2023 23:37;18.10.2023 23:38;0
218;0;1;;19.10.2023 09:50;;;;;;;;;;;;;;;;;19.10.2023 09:50;19.10.2023 09:50;0
218;0;2;;;20.10.2023 00:23;;;;;;;;;;;;;;;;20.10.2023 00:23;20.10.2023 00:23;0
218;0;1;;20.10.2023 09:56;;;;;;;;;;;;;;;;;20.10.2023 09:56;20.10.2023 09:56;0
218;0;3;;;;Stuttgart ;;;;;;;;;;;;;;;20.10.2023 20:45;20.10.2023 20:45;0
218;0;4;;;;;;;;;;;;;;;;;;;20.10.2023 23:38;20.10.2023 23:38;0
218;0;2;;;21.10.2023 00:38;;;;;;;;;;;;;;;;21.10.2023 00:38;21.10.2023 00:38;0
218;0;1;;21.10.2023 11:00;;;;;;;;;;;;;;;;;21.10.2023 11:03;21.10.2023 11:03;0
218;0;1;;22.10.2023 11:00;;;;;;;;;;;;;;;;;22.10.2023 11:12;22.10.2023 11:12;0
218;1;;;;;;;;;0;0;21.10.2023 19:00;;;;;;0;On a desk ;0;22.10.2023 14:11;22.10.2023 14:12;0
218;1;;;;;;;;;1;0;;21.10.2023 22:30;;;;;;;;22.10.2023 14:12;22.10.2023 14:12;0
218;1;;;;;;;;;2;0;;;21.10.2023 02:15;;;;;;;22.10.2023 14:12;22.10.2023 14:13;0
218;0;2;;;23.10.2023 02:00;;;;;;;;;;;;;;;;23.10.2023 02:00;23.10.2023 02:00;0
218;0;1;;23.10.2023 08:13;;;;;;;;;;;;;;;;;23.10.2023 08:13;23.10.2023 08:14;0
218;0;1;;23.10.2023 08:22;;;;;;;;;;;;;;;;;23.10.2023 08:22;23.10.2023 08:23;0
