record_id;wearlog_type;wearlog_event;wearlog_off;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;startdate;enddate;wear_log_complete
202;0;1;;14.08.2023 13:26;;;;;;;;;;;;;;;;;14.08.2023 13:26;14.08.2023 13:26;0
202;0;0;14.08.2023 16:42;;;;1;;0;;;;;;;;;;;;14.08.2023 16:42;14.08.2023 16:42;0
202;0;1;;14.08.2023 16:42;;;;;;;;;;;;;;;;;14.08.2023 17:11;14.08.2023 17:11;0
202;0;0;14.08.2023 22:21;;;;0;beside my bed;0;;;;;;;;;;;;14.08.2023 22:21;14.08.2023 22:22;0
202;0;2;;;14.08.2023 22:22;;;;;;;;;;;;;;;;14.08.2023 22:22;14.08.2023 22:22;0
202;0;1;;14.08.2023 22:22;;;;;;;;;;;;;;;;;15.08.2023 07:47;15.08.2023 07:47;0
202;0;0;15.08.2023 11:22;;;;1;;1;;;;;;;;;;;;15.08.2023 11:23;15.08.2023 11:23;0
202;0;1;;15.08.2023 11:43;;;;;;;;;;;;;;;;;15.08.2023 11:43;15.08.2023 11:43;0
202;0;0;15.08.2023 18:19;;;;1;;0;;;;;;;;;;;;15.08.2023 18:19;15.08.2023 18:20;0
202;1;;;;;;;;;1;1;;15.08.2023 19:00;;;;;;;;15.08.2023 20:04;15.08.2023 20:04;0
202;0;2;;;15.08.2023 22:17;;;;;;;;;;;;;;;;15.08.2023 22:18;15.08.2023 22:18;0
202;0;1;;16.08.2023 07:31;;;;;;;;;;;;;;;;;16.08.2023 07:32;16.08.2023 07:32;0
202;0;0;16.08.2023 08:19;;;;1;;1;;;;;;;;;;;;16.08.2023 08:19;16.08.2023 08:19;0
202;0;1;;16.08.2023 08:48;;;;;;;;;;;;;;;;;16.08.2023 08:48;16.08.2023 08:48;0
202;0;0;16.08.2023 11:22;;;;1;;0;;;;;;;;;;;;16.08.2023 11:22;16.08.2023 11:22;0
202;0;1;;16.08.2023 11:44;;;;;;;;;;;;;;;;;16.08.2023 11:44;16.08.2023 11:45;0
202;1;;;;;;;;;1;0;;15.08.2023 07:24;;;;;;;;16.08.2023 12:03;16.08.2023 12:03;0
202;0;0;16.08.2023 12:21;;;;1;;0;;;;;;;;;;;;16.08.2023 12:21;16.08.2023 12:21;0
202;0;1;;16.08.2023 13:16;;;;;;;;;;;;;;;;;16.08.2023 13:16;16.08.2023 13:16;0
202;0;0;16.08.2023 14:53;;;;1;;0;;;;;;;;;;;;16.08.2023 14:53;16.08.2023 14:53;0
202;0;1;;16.08.2023 15:55;;;;;;;;;;;;;;;;;16.08.2023 15:55;16.08.2023 15:55;0
202;0;2;;;16.08.2023 22:15;;;;;;;;;;;;;;;;16.08.2023 22:15;16.08.2023 22:16;0
202;0;1;;17.08.2023 06:25;;;;;;;;;;;;;;;;;17.08.2023 06:25;17.08.2023 06:25;0
202;0;0;17.08.2023 17:50;;;;1;;0;;;;;;;;;;;;17.08.2023 17:50;17.08.2023 17:51;0
202;0;1;;17.08.2023 20:30;;;;;;;;;;;;;;;;;17.08.2023 20:33;17.08.2023 20:33;0
202;0;2;;;17.08.2023 23:33;;;;;;;;;;;;;;;;17.08.2023 23:33;17.08.2023 23:34;0
202;0;2;;;18.08.2023 22:29;;;;;;;;;;;;;;;;18.08.2023 22:29;18.08.2023 22:30;0
202;0;1;;19.08.2023 07:07;;;;;;;;;;;;;;;;;19.08.2023 07:07;19.08.2023 07:07;0
202;0;2;;;19.08.2023 21:49;;;;;;;;;;;;;;;;19.08.2023 21:49;19.08.2023 21:49;0
202;0;1;;20.08.2023 09:57;;;;;;;;;;;;;;;;;20.08.2023 09:57;20.08.2023 09:57;0
202;0;0;20.08.2023 15:13;;;;1;;0;;;;;;;;;;;;20.08.2023 15:13;20.08.2023 15:13;0
202;0;1;;20.08.2023 16:18;;;;;;;;;;;;;;;;;20.08.2023 16:18;20.08.2023 16:18;0
202;0;0;20.08.2023 21:10;;;;1;;0;;;;;;;;;;;;20.08.2023 21:10;20.08.2023 21:10;0
202;0;2;;;21.08.2023 00:27;;;;;;;;;;;;;;;;21.08.2023 00:27;21.08.2023 00:27;0
202;1;;;;;;;;;0;1;21.08.2023 07:23;;;;;;1;;1;21.08.2023 09:05;21.08.2023 09:05;0
