record_id;wearlog_type;wearlog_event;wearlog_off;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;startdate;enddate;wear_log_complete
206;;;;;;;;;;;;;;;;;;;;;;;
206;0;1;;"2023-08-28 14:16";;;;;;;;;;;;;;;;;"2023-08-28 14:16:18";"2023-08-28 14:16:30";0
206;0;2;;;"2023-08-28 17:26";;;;;;;;;;;;;;;;"2023-08-28 17:26:24";"2023-08-28 17:26:59";0
206;0;1;;"2023-08-28 20:53";;;;;;;;;;;;;;;;;"2023-08-28 20:53:43";"2023-08-28 20:53:52";0
206;0;0;"2023-08-29 03:02";;;;1;;0;;;;;;;;;;;;"2023-08-29 03:02:07";"2023-08-29 03:02:27";0
206;0;2;;;"2023-08-29 03:18";;;;;;;;;;;;;;;;"2023-08-29 03:18:38";"2023-08-29 03:18:48";0
206;0;1;;"2023-08-29 12:17";;;;;;;;;;;;;;;;;"2023-08-29 12:17:08";"2023-08-29 12:17:17";0
206;0;2;;;"2023-08-29 17:12";;;;;;;;;;;;;;;;"2023-08-29 17:12:46";"2023-08-29 17:12:57";0
206;0;1;;"2023-08-29 18:24";;;;;;;;;;;;;;;;;"2023-08-29 18:24:59";"2023-08-29 18:25:08";0
206;0;0;"2023-08-29 23:27";;;;1;;0;;;;;;;;;;;;"2023-08-29 23:31:34";"2023-08-29 23:31:53";0
206;0;1;;"2023-08-30 00:15";;;;;;;;;;;;;;;;;"2023-08-30 00:15:51";"2023-08-30 00:15:58";0
206;0;2;;;"2023-08-30 01:18";;;;;;;;;;;;;;;;"2023-08-30 01:18:58";"2023-08-30 01:19:06";0
